"number"	"post_air_tightness"	"pre_air_tightness"
"1"	0.0365853658536585	0
"2"	0.146341463414634	0
"3"	0.134146341463415	0
"4"	0.0975609756097561	0.0229885057471264
"5"	0.146341463414634	0.0919540229885057
"6"	0.146341463414634	0.0689655172413793
"7"	0.0853658536585366	0.149425287356322
"8"	0.0365853658536585	0.103448275862069
"9"	0.0609756097560976	0.160919540229885
"10"	0.0121951219512195	0.103448275862069
"11"	0.0487804878048781	0.0344827586206897
"12"	0.0365853658536585	0.0689655172413793
"13"	0.0121951219512195	0.0229885057471264
"14"	0	0.0229885057471264
"15"	0	0.0574712643678161
"16"	0	0.0114942528735632
"17"	0	0.0114942528735632
"18"	0	0
"19"	0	0.0114942528735632
"20"	0	0
"21"	0	0.0229885057471264
"22"	0	0.0114942528735632
"23"	0	0
"24"	0	0
"25"	0	0
"26"	0	0
"27"	0	0.0114942528735632
"28"	0	0.0114942528735632
"29"	0	0
