"number"	"Post_air_tightness"	"Pre_air_tightness"
"1"	0.024390243902439	0
"1.5"	0.0121951219512195	0
"2"	0.0487804878048781	0
"2.5"	0.0975609756097561	0
"3"	0.0731707317073171	0
"3.5"	0.0609756097560976	0
"4"	0.0731707317073171	0.0114942528735632
"4.5"	0.024390243902439	0.0114942528735632
"5"	0.0731707317073171	0.0229885057471264
"5.5"	0.0731707317073171	0.0689655172413793
"6"	0.0853658536585366	0.0114942528735632
"6.5"	0.0609756097560976	0.0574712643678161
"7"	0.0365853658536585	0.0689655172413793
"7.5"	0.0487804878048781	0.0804597701149425
"8"	0.0121951219512195	0.0804597701149425
"8.5"	0.024390243902439	0.0229885057471264
"9"	0.024390243902439	0.103448275862069
"9.5"	0.0365853658536585	0.0574712643678161
"10"	0	0.0459770114942529
"10.5"	0.0121951219512195	0.0574712643678161
"11"	0.024390243902439	0
"11.5"	0.024390243902439	0.0344827586206897
"12"	0	0.0459770114942529
"12.5"	0.0365853658536585	0.0229885057471264
"13"	0	0
"13.5"	0.0121951219512195	0.0229885057471264
"14"	0	0
"14.5"	0	0.0229885057471264
"15"	0	0.0344827586206897
"15.5"	0	0.0229885057471264
"16"	0	0
"16.5"	0	0.0114942528735632
"17"	0	0.0114942528735632
"17.5"	0	0
"18"	0	0
"18.5"	0	0
"19"	0	0
"19.5"	0	0.0114942528735632
"20"	0	0
"20.5"	0	0
"21"	0	0.0114942528735632
"21.5"	0	0.0114942528735632
"22"	0	0
"22.5"	0	0.0114942528735632
"23"	0	0
"23.5"	0	0
"24"	0	0
"24.5"	0	0
"25"	0	0
"25.5"	0	0
"26"	0	0
"26.5"	0	0
"27"	0	0
"27.5"	0	0.0114942528735632
"28"	0	0.0114942528735632
"28.5"	0	0
"29"	0	0
"29.5"	0	0
